date,idea,trend_score,mentions,engagement,sentiment
2019-10-01,4-Day Work Week,30.72,962,285,0.491
2019-11-01,4-Day Work Week,32.27,1017,401,0.855
2019-12-01,4-Day Work Week,33.43,640,390,0.761
2020-01-01,4-Day Work Week,34.07,1086,404,0.76
2020-02-01,4-Day Work Week,35.44,753,466,0.694
2020-03-01,4-Day Work Week,38.99,700,455,0.722
2020-04-01,4-Day Work Week,42.65,909,417,0.502
2020-05-01,4-Day Work Week,39.22,1015,373,0.663
2020-06-01,4-Day Work Week,49.4,1506,350,0.539
2020-07-01,4-Day Work Week,49.38,1053,643,0.483
2020-08-01,4-Day Work Week,48.9,953,628,0.699
2020-09-01,4-Day Work Week,48.2,1388,396,0.789
2020-10-01,4-Day Work Week,53.77,1867,740,0.604
2020-11-01,4-Day Work Week,48.3,1353,546,0.625
2020-12-01,4-Day Work Week,48.09,1423,496,0.513
2021-01-01,4-Day Work Week,50.42,1378,310,0.651
2021-02-01,4-Day Work Week,49.82,1554,471,0.741
2021-03-01,4-Day Work Week,54.03,1868,636,0.745
2021-04-01,4-Day Work Week,55.4,1497,377,0.715
2021-05-01,4-Day Work Week,55.94,1387,567,0.576
2021-06-01,4-Day Work Week,56.13,1827,839,0.572
2021-07-01,4-Day Work Week,57.4,1979,715,0.745
2021-08-01,4-Day Work Week,63.04,1246,689,0.747
2021-09-01,4-Day Work Week,60.53,1672,654,0.629
2021-10-01,4-Day Work Week,62.27,1953,398,0.599
2021-11-01,4-Day Work Week,60.91,1634,890,0.79
2021-12-01,4-Day Work Week,56.32,1389,808,0.607
2022-01-01,4-Day Work Week,56.56,1638,687,0.74
2022-02-01,4-Day Work Week,68.52,1523,472,0.634
2022-03-01,4-Day Work Week,60.95,1439,480,0.524
2022-04-01,4-Day Work Week,60.97,2126,467,0.843
2022-05-01,4-Day Work Week,63.83,1828,681,0.664
2022-06-01,4-Day Work Week,65.01,2131,512,0.565
2022-07-01,4-Day Work Week,65.67,2077,805,0.483
2022-08-01,4-Day Work Week,69.23,2002,755,0.495
2022-09-01,4-Day Work Week,68.68,2213,423,0.605
2022-10-01,4-Day Work Week,62.02,1397,787,0.881
2022-11-01,4-Day Work Week,67.63,1938,521,0.58
2022-12-01,4-Day Work Week,63.85,1777,857,0.824
2013-01-01,AI Ethics,10.41,323,173,0.57
2013-02-01,AI Ethics,5.06,149,71,0.436
2013-03-01,AI Ethics,7.68,312,55,0.639
2013-04-01,AI Ethics,8.04,176,89,0.332
2013-05-01,AI Ethics,12.01,425,198,0.36
2013-06-01,AI Ethics,9.04,351,68,0.348
2013-07-01,AI Ethics,13.74,565,99,0.272
2013-08-01,AI Ethics,5.0,124,51,0.338
2013-09-01,AI Ethics,9.06,291,155,0.462
2013-10-01,AI Ethics,9.29,204,157,0.365
2013-11-01,AI Ethics,10.69,337,137,-0.013
2013-12-01,AI Ethics,6.48,153,85,0.579
2014-01-01,AI Ethics,14.05,542,152,0.248
2014-02-01,AI Ethics,9.12,213,90,0.521
2014-03-01,AI Ethics,5.91,188,95,0.454
2014-04-01,AI Ethics,9.2,294,77,0.704
2014-05-01,AI Ethics,8.39,348,105,0.57
2014-06-01,AI Ethics,17.77,617,250,0.389
2014-07-01,AI Ethics,12.65,342,105,0.366
2014-08-01,AI Ethics,9.73,254,125,0.63
2014-09-01,AI Ethics,9.33,221,125,0.273
2014-10-01,AI Ethics,12.6,465,192,0.473
2014-11-01,AI Ethics,12.83,456,125,0.434
2014-12-01,AI Ethics,5.0,169,52,0.409
2015-01-01,AI Ethics,11.93,261,159,0.492
2015-02-01,AI Ethics,10.17,376,181,0.473
2015-03-01,AI Ethics,6.23,215,60,0.505
2015-04-01,AI Ethics,12.89,532,230,0.467
2015-05-01,AI Ethics,17.07,569,255,0.5
2015-06-01,AI Ethics,12.09,331,195,0.461
2015-07-01,AI Ethics,13.8,400,113,0.371
2015-08-01,AI Ethics,16.0,395,167,0.45
2015-09-01,AI Ethics,8.18,296,64,0.364
2015-10-01,AI Ethics,5.18,186,58,0.356
2015-11-01,AI Ethics,12.8,323,228,0.41
2015-12-01,AI Ethics,10.17,248,85,0.436
2016-01-01,AI Ethics,6.88,156,91,0.454
2016-02-01,AI Ethics,10.85,436,79,0.56
2016-03-01,AI Ethics,13.35,346,199,0.39
2016-04-01,AI Ethics,10.8,305,101,0.474
2016-05-01,AI Ethics,8.97,241,77,0.464
2016-06-01,AI Ethics,10.75,319,116,0.377
2016-07-01,AI Ethics,11.44,412,178,0.459
2016-08-01,AI Ethics,5.79,228,48,0.57
2016-09-01,AI Ethics,11.24,279,109,0.472
2016-10-01,AI Ethics,7.72,273,56,0.477
2016-11-01,AI Ethics,13.81,392,244,0.365
2016-12-01,AI Ethics,7.23,301,98,0.686
2017-01-01,AI Ethics,15.04,410,225,0.372
2017-02-01,AI Ethics,11.44,242,163,0.25
2017-03-01,AI Ethics,11.7,373,103,0.553
2017-04-01,AI Ethics,14.88,360,203,0.436
2017-05-01,AI Ethics,12.07,265,104,0.414
2017-06-01,AI Ethics,16.17,577,186,0.385
2017-07-01,AI Ethics,13.8,502,184,0.675
2017-08-01,AI Ethics,15.0,460,198,0.493
2017-09-01,AI Ethics,18.55,653,157,0.516
2017-10-01,AI Ethics,14.58,471,110,0.47
2017-11-01,AI Ethics,14.87,509,235,0.482
2017-12-01,AI Ethics,20.08,673,302,0.618
2018-01-01,AI Ethics,19.92,697,161,0.42
2018-02-01,AI Ethics,21.76,548,187,0.275
2018-03-01,AI Ethics,23.48,626,395,0.554
2018-04-01,AI Ethics,23.92,723,371,0.51
2018-05-01,AI Ethics,26.82,815,482,0.463
2018-06-01,AI Ethics,26.54,989,264,0.506
2018-07-01,AI Ethics,21.48,617,268,0.406
2018-08-01,AI Ethics,23.51,574,229,0.452
2018-09-01,AI Ethics,35.78,940,498,0.434
2018-10-01,AI Ethics,31.25,797,264,0.379
2018-11-01,AI Ethics,35.35,1286,303,0.593
2018-12-01,AI Ethics,32.71,1010,261,0.281
2019-01-01,AI Ethics,34.83,1250,512,0.733
2019-02-01,AI Ethics,34.89,1038,437,0.555
2019-03-01,AI Ethics,44.9,1782,623,0.237
2019-04-01,AI Ethics,39.51,1646,660,0.423
2019-05-01,AI Ethics,38.4,1346,583,0.43
2019-06-01,AI Ethics,36.3,1421,442,0.497
2019-07-01,AI Ethics,48.42,1533,863,0.331
2019-08-01,AI Ethics,43.26,1758,525,0.454
2019-09-01,AI Ethics,47.23,1817,397,0.435
2019-10-01,AI Ethics,48.82,2042,875,0.361
2019-11-01,AI Ethics,46.11,1572,343,0.345
2019-12-01,AI Ethics,50.77,1897,667,0.56
2020-01-01,AI Ethics,48.19,1561,508,0.246
2020-02-01,AI Ethics,48.28,1277,610,0.507
2020-03-01,AI Ethics,55.99,1593,741,0.546
2020-04-01,AI Ethics,53.28,2119,522,0.424
2020-05-01,AI Ethics,56.56,1254,747,0.456
2020-06-01,AI Ethics,57.48,1921,883,0.59
2020-07-01,AI Ethics,59.41,1712,599,0.365
2020-08-01,AI Ethics,54.08,1575,613,0.378
2020-09-01,AI Ethics,58.24,2305,588,0.391
2020-10-01,AI Ethics,60.28,2347,968,0.59
2020-11-01,AI Ethics,60.01,2015,902,0.605
2020-12-01,AI Ethics,65.04,1739,1080,0.282
2021-01-01,AI Ethics,68.56,2124,620,0.571
2021-02-01,AI Ethics,69.6,2058,556,0.548
2021-03-01,AI Ethics,65.11,1851,553,0.636
2021-04-01,AI Ethics,67.57,1565,604,0.496
2021-05-01,AI Ethics,68.6,2223,889,0.445
2021-06-01,AI Ethics,69.69,1905,1233,0.587
2021-07-01,AI Ethics,65.76,2293,727,0.534
2021-08-01,AI Ethics,74.42,2062,1306,0.719
2021-09-01,AI Ethics,72.3,2173,550,0.565
2021-10-01,AI Ethics,72.94,1612,1255,0.468
2021-11-01,AI Ethics,74.26,3107,680,0.309
2021-12-01,AI Ethics,72.82,2305,1242,0.38
2022-01-01,AI Ethics,68.7,1478,536,0.278
2022-02-01,AI Ethics,71.93,2328,1255,0.424
2022-03-01,AI Ethics,67.96,2669,637,0.561
2022-04-01,AI Ethics,74.72,2781,782,0.45
2022-05-01,AI Ethics,73.54,2627,919,0.573
2022-06-01,AI Ethics,74.49,1782,843,0.491
2022-07-01,AI Ethics,78.79,2743,1135,0.402
2022-08-01,AI Ethics,74.37,2758,1318,0.461
2022-09-01,AI Ethics,75.55,2495,1039,0.507
2022-10-01,AI Ethics,76.94,3058,1153,0.467
2022-11-01,AI Ethics,71.91,1929,586,0.468
2022-12-01,AI Ethics,77.2,2014,1079,0.358
2013-01-01,Absurdism,12.76,141,26,0.165
2013-02-01,Absurdism,9.18,82,22,0.345
2013-03-01,Absurdism,10.91,97,37,0.189
2013-04-01,Absurdism,11.13,109,42,0.12
2013-05-01,Absurdism,8.22,83,37,0.115
2013-06-01,Absurdism,13.25,123,57,-0.038
2013-07-01,Absurdism,9.81,62,35,0.256
2013-08-01,Absurdism,8.12,61,24,0.141
2013-09-01,Absurdism,12.05,130,42,0.128
2013-10-01,Absurdism,7.8,54,31,0.533
2013-11-01,Absurdism,10.64,82,23,0.186
2013-12-01,Absurdism,10.58,85,31,0.06
2014-01-01,Absurdism,13.92,112,57,0.099
2014-02-01,Absurdism,12.15,110,34,0.288
2014-03-01,Absurdism,10.7,116,36,0.164
2014-04-01,Absurdism,13.29,92,45,-0.023
2014-05-01,Absurdism,15.06,95,35,0.26
2014-06-01,Absurdism,12.62,85,35,0.07
2014-07-01,Absurdism,11.03,117,30,0.375
2014-08-01,Absurdism,7.12,66,13,0.28
2014-09-01,Absurdism,7.92,57,15,0.096
2014-10-01,Absurdism,10.25,104,41,0.304
2014-11-01,Absurdism,9.39,98,24,0.158
2014-12-01,Absurdism,10.72,111,34,0.252
2015-01-01,Absurdism,11.5,124,30,0.208
2015-02-01,Absurdism,12.98,91,56,0.048
2015-03-01,Absurdism,11.23,110,28,0.073
2015-04-01,Absurdism,12.96,106,38,0.274
2015-05-01,Absurdism,11.75,121,49,0.11
2015-06-01,Absurdism,5.68,55,23,0.102
2015-07-01,Absurdism,8.85,88,20,0.035
2015-08-01,Absurdism,11.29,105,45,0.201
2015-09-01,Absurdism,8.15,54,25,0.398
2015-10-01,Absurdism,13.63,118,42,0.022
2015-11-01,Absurdism,16.48,183,36,0.153
2015-12-01,Absurdism,15.6,169,31,0.319
2016-01-01,Absurdism,11.36,66,43,0.14
2016-02-01,Absurdism,16.72,109,53,0.204
2016-03-01,Absurdism,12.95,82,39,0.023
2016-04-01,Absurdism,11.74,113,44,0.201
2016-05-01,Absurdism,11.16,114,43,0.128
2016-06-01,Absurdism,12.34,84,28,0.268
2016-07-01,Absurdism,12.34,104,43,0.292
2016-08-01,Absurdism,14.26,147,31,0.461
2016-09-01,Absurdism,14.48,141,55,0.22
2016-10-01,Absurdism,14.26,123,51,0.189
2016-11-01,Absurdism,15.81,141,69,0.173
2016-12-01,Absurdism,18.32,155,36,0.108
2017-01-01,Absurdism,17.85,130,35,0.191
2017-02-01,Absurdism,10.8,95,28,0.115
2017-03-01,Absurdism,7.84,74,20,0.17
2017-04-01,Absurdism,18.55,195,46,0.308
2017-05-01,Absurdism,11.9,109,51,0.029
2017-06-01,Absurdism,15.58,154,39,0.287
2017-07-01,Absurdism,12.99,84,33,0.308
2017-08-01,Absurdism,11.34,93,44,0.136
2017-09-01,Absurdism,18.62,105,56,-0.105
2017-10-01,Absurdism,19.53,136,76,0.077
2017-11-01,Absurdism,15.77,152,31,0.306
2017-12-01,Absurdism,9.98,111,31,0.147
2018-01-01,Absurdism,16.36,101,31,0.03
2018-02-01,Absurdism,19.88,156,39,0.089
2018-03-01,Absurdism,14.98,151,64,0.251
2018-04-01,Absurdism,20.68,139,45,0.216
2018-05-01,Absurdism,20.79,181,67,0.121
2018-06-01,Absurdism,23.28,226,68,0.106
2018-07-01,Absurdism,22.61,205,62,0.103
2018-08-01,Absurdism,20.04,133,85,0.039
2018-09-01,Absurdism,27.26,207,51,0.344
2018-10-01,Absurdism,23.9,239,86,0.111
2018-11-01,Absurdism,25.0,218,110,0.296
2018-12-01,Absurdism,22.99,129,76,0.333
2019-01-01,Absurdism,25.17,248,109,0.27
2019-02-01,Absurdism,24.55,142,48,0.098
2019-03-01,Absurdism,27.4,268,80,0.198
2019-04-01,Absurdism,33.76,227,84,0.147
2019-05-01,Absurdism,25.22,277,95,0.042
2019-06-01,Absurdism,25.2,193,112,0.189
2019-07-01,Absurdism,35.16,261,88,0.009
2019-08-01,Absurdism,30.83,198,110,0.293
2019-09-01,Absurdism,30.16,221,70,0.094
2019-10-01,Absurdism,35.99,378,120,0.174
2019-11-01,Absurdism,31.77,355,97,0.184
2019-12-01,Absurdism,39.77,305,176,0.119
2020-01-01,Absurdism,37.03,300,128,0.22
2020-02-01,Absurdism,32.95,318,90,0.093
2020-03-01,Absurdism,40.31,426,85,0.255
2020-04-01,Absurdism,31.43,280,69,-0.012
2020-05-01,Absurdism,34.89,272,84,0.165
2020-06-01,Absurdism,32.98,261,82,0.383
2020-07-01,Absurdism,35.41,336,145,0.03
2020-08-01,Absurdism,35.6,200,118,0.069
2020-09-01,Absurdism,30.43,276,98,0.212
2020-10-01,Absurdism,27.49,209,58,0.172
2020-11-01,Absurdism,30.55,307,126,0.192
2020-12-01,Absurdism,26.55,163,100,0.209
2021-01-01,Absurdism,34.04,303,67,0.226
2021-02-01,Absurdism,28.28,235,105,0.283
2021-03-01,Absurdism,26.64,245,87,0.199
2021-04-01,Absurdism,28.16,168,57,0.121
2021-05-01,Absurdism,23.44,207,71,0.231
2021-06-01,Absurdism,24.43,214,76,0.378
2021-07-01,Absurdism,30.82,269,69,0.134
2021-08-01,Absurdism,25.12,226,109,0.033
2021-09-01,Absurdism,23.82,224,98,0.283
2021-10-01,Absurdism,28.44,287,103,0.136
2021-11-01,Absurdism,30.25,215,92,-0.111
2021-12-01,Absurdism,28.72,294,84,0.252
2022-01-01,Absurdism,29.42,247,105,0.086
2022-02-01,Absurdism,24.03,145,79,0.139
2022-03-01,Absurdism,21.91,130,43,0.19
2022-04-01,Absurdism,30.55,228,97,0.173
2022-05-01,Absurdism,24.95,249,99,0.235
2022-06-01,Absurdism,25.03,239,76,0.098
2022-07-01,Absurdism,29.64,297,58,0.212
2022-08-01,Absurdism,27.19,231,107,0.119
2022-09-01,Absurdism,26.76,216,63,0.239
2022-10-01,Absurdism,31.76,204,79,0.224
2022-11-01,Absurdism,23.2,173,52,0.038
2022-12-01,Absurdism,27.78,223,75,0.28
2013-01-01,Algorithmic Resistance,5.0,59,25,0.547
2013-02-01,Algorithmic Resistance,5.0,56,29,0.465
2013-03-01,Algorithmic Resistance,6.92,55,35,0.509
2013-04-01,Algorithmic Resistance,5.0,68,25,0.349
2013-05-01,Algorithmic Resistance,5.0,47,24,0.286
2013-06-01,Algorithmic Resistance,5.58,41,31,0.227
2013-07-01,Algorithmic Resistance,5.0,46,17,0.218
2013-08-01,Algorithmic Resistance,6.19,58,22,0.447
2013-09-01,Algorithmic Resistance,5.3,41,27,0.412
2013-10-01,Algorithmic Resistance,5.85,66,19,0.342
2013-11-01,Algorithmic Resistance,5.0,47,28,0.411
2013-12-01,Algorithmic Resistance,5.94,68,26,0.367
2014-01-01,Algorithmic Resistance,7.81,55,27,0.465
2014-02-01,Algorithmic Resistance,5.0,69,26,0.464
2014-03-01,Algorithmic Resistance,7.53,62,27,0.222
2014-04-01,Algorithmic Resistance,5.65,66,33,0.383
2014-05-01,Algorithmic Resistance,7.27,87,43,0.15
2014-06-01,Algorithmic Resistance,6.11,50,29,0.366
2014-07-01,Algorithmic Resistance,5.83,45,16,0.423
2014-08-01,Algorithmic Resistance,6.65,54,22,0.192
2014-09-01,Algorithmic Resistance,8.43,74,36,0.3
2014-10-01,Algorithmic Resistance,6.52,53,36,0.351
2014-11-01,Algorithmic Resistance,7.06,83,22,0.378
2014-12-01,Algorithmic Resistance,5.41,54,15,0.317
2015-01-01,Algorithmic Resistance,9.34,101,25,0.209
2015-02-01,Algorithmic Resistance,7.53,55,32,0.344
2015-03-01,Algorithmic Resistance,6.46,84,36,0.152
2015-04-01,Algorithmic Resistance,6.1,50,16,0.322
2015-05-01,Algorithmic Resistance,8.36,80,26,0.297
2015-06-01,Algorithmic Resistance,5.24,39,26,0.334
2015-07-01,Algorithmic Resistance,5.0,40,27,0.283
2015-08-01,Algorithmic Resistance,6.69,78,36,0.169
2015-09-01,Algorithmic Resistance,8.98,106,47,0.306
2015-10-01,Algorithmic Resistance,9.83,115,28,0.462
2015-11-01,Algorithmic Resistance,6.49,70,25,0.501
2015-12-01,Algorithmic Resistance,6.84,93,41,0.643
2016-01-01,Algorithmic Resistance,7.84,83,47,0.553
2016-02-01,Algorithmic Resistance,6.32,64,29,0.206
2016-03-01,Algorithmic Resistance,7.93,69,39,0.301
2016-04-01,Algorithmic Resistance,6.78,52,39,0.347
2016-05-01,Algorithmic Resistance,9.02,98,36,0.34
2016-06-01,Algorithmic Resistance,8.5,78,25,0.358
2016-07-01,Algorithmic Resistance,8.72,93,42,0.639
2016-08-01,Algorithmic Resistance,6.74,57,39,0.22
2016-09-01,Algorithmic Resistance,11.05,142,54,0.264
2016-10-01,Algorithmic Resistance,8.22,115,43,0.547
2016-11-01,Algorithmic Resistance,7.79,72,31,0.276
2016-12-01,Algorithmic Resistance,5.83,75,16,0.397
2017-01-01,Algorithmic Resistance,7.21,94,22,0.474
2017-02-01,Algorithmic Resistance,7.68,107,46,0.408
2017-03-01,Algorithmic Resistance,5.92,56,25,0.373
2017-04-01,Algorithmic Resistance,6.97,86,17,0.463
2017-05-01,Algorithmic Resistance,7.27,63,42,0.243
2017-06-01,Algorithmic Resistance,7.76,88,33,0.29
2017-07-01,Algorithmic Resistance,5.0,60,27,0.414
2017-08-01,Algorithmic Resistance,7.48,91,33,0.102
2017-09-01,Algorithmic Resistance,7.05,60,19,0.52
2017-10-01,Algorithmic Resistance,7.81,101,36,0.386
2017-11-01,Algorithmic Resistance,9.97,99,60,0.368
2017-12-01,Algorithmic Resistance,12.05,103,30,0.154
2018-01-01,Algorithmic Resistance,9.36,101,51,0.196
2018-02-01,Algorithmic Resistance,6.11,80,20,0.302
2018-03-01,Algorithmic Resistance,8.48,117,32,0.447
2018-04-01,Algorithmic Resistance,10.94,134,41,0.101
2018-05-01,Algorithmic Resistance,11.3,80,64,0.445
2018-06-01,Algorithmic Resistance,12.89,102,54,0.307
2018-07-01,Algorithmic Resistance,11.31,85,45,0.323
2018-08-01,Algorithmic Resistance,11.36,88,61,0.38
2018-09-01,Algorithmic Resistance,16.17,157,42,0.382
2018-10-01,Algorithmic Resistance,13.37,125,36,0.265
2018-11-01,Algorithmic Resistance,11.8,92,29,0.425
2018-12-01,Algorithmic Resistance,17.37,229,85,0.072
2019-01-01,Algorithmic Resistance,12.01,136,52,0.296
2019-02-01,Algorithmic Resistance,8.59,108,48,0.368
2019-03-01,Algorithmic Resistance,17.71,170,74,0.309
2019-04-01,Algorithmic Resistance,18.57,183,59,0.131
2019-05-01,Algorithmic Resistance,18.16,168,96,0.441
2019-06-01,Algorithmic Resistance,15.31,154,53,0.2
2019-07-01,Algorithmic Resistance,18.38,207,106,0.342
2019-08-01,Algorithmic Resistance,18.53,194,61,0.368
2019-09-01,Algorithmic Resistance,18.59,239,56,0.352
2019-10-01,Algorithmic Resistance,23.07,307,96,0.49
2019-11-01,Algorithmic Resistance,18.74,193,48,0.344
2019-12-01,Algorithmic Resistance,22.05,191,56,0.401
2020-01-01,Algorithmic Resistance,24.39,332,102,0.343
2020-02-01,Algorithmic Resistance,23.6,287,75,0.424
2020-03-01,Algorithmic Resistance,26.15,300,64,0.517
2020-04-01,Algorithmic Resistance,25.63,313,89,0.367
2020-05-01,Algorithmic Resistance,26.19,197,108,0.444
2020-06-01,Algorithmic Resistance,26.9,201,103,0.525
2020-07-01,Algorithmic Resistance,28.23,228,82,0.513
2020-08-01,Algorithmic Resistance,27.06,217,121,0.304
2020-09-01,Algorithmic Resistance,26.06,259,129,0.474
2020-10-01,Algorithmic Resistance,31.41,254,152,0.38
2020-11-01,Algorithmic Resistance,32.66,424,125,0.484
2020-12-01,Algorithmic Resistance,31.67,350,92,0.418
2021-01-01,Algorithmic Resistance,30.9,296,130,0.383
2021-02-01,Algorithmic Resistance,29.15,218,163,0.402
2021-03-01,Algorithmic Resistance,32.69,364,134,0.381
2021-04-01,Algorithmic Resistance,30.08,235,93,0.385
2021-05-01,Algorithmic Resistance,30.07,367,82,0.331
2021-06-01,Algorithmic Resistance,33.26,420,193,0.32
2021-07-01,Algorithmic Resistance,32.04,346,163,0.562
2021-08-01,Algorithmic Resistance,34.52,278,122,0.407
2021-09-01,Algorithmic Resistance,33.77,422,117,0.281
2021-10-01,Algorithmic Resistance,33.13,303,186,0.317
2021-11-01,Algorithmic Resistance,31.2,267,95,0.477
2021-12-01,Algorithmic Resistance,33.16,341,143,0.262
2022-01-01,Algorithmic Resistance,33.5,451,166,0.172
2022-02-01,Algorithmic Resistance,32.94,299,126,0.181
2022-03-01,Algorithmic Resistance,34.99,467,89,0.143
2022-04-01,Algorithmic Resistance,33.62,248,108,0.194
2022-05-01,Algorithmic Resistance,35.85,272,202,0.208
2022-06-01,Algorithmic Resistance,36.92,439,158,0.516
2022-07-01,Algorithmic Resistance,35.04,292,187,0.344
2022-08-01,Algorithmic Resistance,37.81,348,166,0.306
2022-09-01,Algorithmic Resistance,34.49,274,200,0.177
2022-10-01,Algorithmic Resistance,35.25,329,200,0.333
2022-11-01,Algorithmic Resistance,37.51,336,155,0.142
2022-12-01,Algorithmic Resistance,39.37,479,140,0.306
2013-01-01,Anti-Consumerism,8.92,229,89,0.433
2013-02-01,Anti-Consumerism,9.83,267,88,0.366
2013-03-01,Anti-Consumerism,14.03,278,131,0.748
2013-04-01,Anti-Consumerism,8.53,174,47,0.455
2013-05-01,Anti-Consumerism,8.93,199,98,0.407
2013-06-01,Anti-Consumerism,11.22,188,116,0.379
2013-07-01,Anti-Consumerism,11.59,313,105,0.254
2013-08-01,Anti-Consumerism,15.61,313,178,0.468
2013-09-01,Anti-Consumerism,9.96,163,60,0.391
2013-10-01,Anti-Consumerism,10.59,261,103,0.391
2013-11-01,Anti-Consumerism,14.58,249,171,0.411
2013-12-01,Anti-Consumerism,15.32,245,108,0.427
2014-01-01,Anti-Consumerism,17.29,378,85,0.191
2014-02-01,Anti-Consumerism,14.49,339,146,0.5
2014-03-01,Anti-Consumerism,13.56,298,66,0.298
2014-04-01,Anti-Consumerism,14.98,347,166,0.383
2014-05-01,Anti-Consumerism,12.53,196,65,0.554
2014-06-01,Anti-Consumerism,12.59,260,120,0.614
2014-07-01,Anti-Consumerism,8.18,155,61,0.196
2014-08-01,Anti-Consumerism,16.26,449,102,0.404
2014-09-01,Anti-Consumerism,14.3,210,161,0.433
2014-10-01,Anti-Consumerism,16.08,292,164,0.219
2014-11-01,Anti-Consumerism,5.39,146,39,0.496
2014-12-01,Anti-Consumerism,13.78,383,94,0.414
2015-01-01,Anti-Consumerism,11.43,292,115,0.423
2015-02-01,Anti-Consumerism,18.59,280,201,0.29
